srcid	srclemma	tgtid	tgtlemma	tgtgram	concept_PfWb
PB07195	p&#x00fc;lvern	EP00753	pulferen		Trinken.Alkohol_trinken
PB07266	pumpen	EP00960	bumpen		Trinken.Alkohol_trinken
PB07282	Bumpes	EP00974	Bumpes		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PB07289	bum(p)sen	EP00977	bumpsen		Trinken.Alkohol_trinken
PB07510	b&#x00fc;rsten	EP01858	b&#x00fc;rsten		Trinken.Alkohol_trinken
PD00873	daran-sch&#x00fc;tten	ES02451	dran sch&#x00fc;tten		Trinken.Alkohol_trinken
PD01569	Tee	ET00024	Tee		Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee
PD03596	Trank	ET02147	Trank		Getränk
PD03599	tr&#x00e4;nken	ET02153	tr&#x00e4;nken		Trinken.Alkohol_trinken
PD03764	Trauben-wein	EW00713	Truebwi(n)		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PD03964	Dreck-milch	EM00570	Dr&#x00eb;ckmilch		Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
PD04173	Dreim&#x00e4;nner-wein	EW00682	Dreim&#x00e4;nnerwin		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PD04435	trinken	ET02159	trinken		Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken; Trinken.Häufig_lange_trinken
PD04436	Trinken(s)	ET02160	Trinken		Getränk
PD04446	Trink-wein	EW00712	Trinkwi(n)		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PD04688	Trub-wein	EW00713	Truebwi(n)		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PD04691	Druck	ET01939	Druck		Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
PD04713	Dr&#x00fc;cker	ET01972	Dr&#x00fc;cker		Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
PD04804	Trunk	ET02165	Trunk		Getränk
PD04968	dudeln	ET00270	dudlen		Trinken.Alkohol_trinken
PD05009	dulfen	ET00679	dulfen		Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken
PD05712	Durst	ET01331	Durst		Durst
PD05717	d&#x00fc;rsterig	ET01335	d&#x00fc;rsterig		Durst
PD05718	d&#x00fc;rstig	ET01334	durstig		Durst
PE00146	Edel-wein	EW00685	Edelwin		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PE00257	Ehr-wein	EW00686	&#x2020;Ehrwein		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PE00499	ein-binden	EP01152	i(n) binden		Trinken.Alkohol_trinken
PE00745	ein-nehmen	EN00317	inn&#x00eb;hmen		Trinken.Alkohol_trinken
PE00983	ein-tun	ET00053	in tuen		Trinken.Alkohol_trinken
