xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Definition_gesplittet	Konzept	Lemma_gemappt	Konzept_Lemma	Def_kurz_gemappt	Konzept_Def_kurz	Def_lang_gemappt	Def_lang_ungemappt	Konzept_Def_lang	Konzept_gemappt
PE02053	Erst-milch	Erstmilch	Substantiv	-	die erste Milch nach dem Kalben	['die erste Milch nach dem Kalben']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk								
PE02096	Erz-engeler	Erzengeler	Substantiv	-	eine Weinbezeichnung	['eine Weinbezeichnung']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PE02211	Essenz	Essenz	Substantiv	1	Kaffee-Ersatz, Zichorie	['Kaffee-Ersatz', 'Zichorie']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee								
PE02324	Eulen-seiche	Eulenseiche	Substantiv	-	verächtlich von abgestandenem Bier und anderen Getränken	['verächtlich von abgestandenem Bier und anderen Getränken']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier								
PE02328	Eureka	Eureka	Substantiv	-	Schnaps	['Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PF00455	Faß-bier	Faßbier	Substantiv	-	Bier aus dem Faß	['Bier aus dem Faß']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier								
PF00457	Faß-böckser	Faßböckser	Substantiv	-	Wein mit unangenehmem Faßgeschmack	['Wein mit unangenehmem Faßgeschmack']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PF00505	Faß-wein	Faßwein	Substantiv	-	Wein direkt vom Faß	['Wein direkt vom Faß']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PF01444	Vergiß-mein-nicht	Vergißmeinnicht	Substantiv	2a	Schnaps	['Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PF02260	Verschnitt-wein	Verschnittwein	Substantiv	-	Wein, der zum Verschneiden verwendet wird	['Wein, der zum Verschneiden verwendet wird']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
PF02878	Feuer-wasser	Feuerwasser	Substantiv	x	Schnaps	['Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Feuerwasser	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PF03163	Fiez	Fiez	Substantiv	1	Apfelwein	['Apfelwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein			Apfelwein	kein_Trinken				kein_Trinken
PF03588	Flanz	Flanz	Substantiv	-	Milch	['Milch']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk			Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk				Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
PF03618	Flaschen-milch	Flaschenmilch	Substantiv	-	in Flaschen an den Verbraucher gelieferte Milch	['in Flaschen an den Verbraucher gelieferte Milch']	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk								
PF03625	Flaschen-wein	Flaschenwein	Substantiv	-	Flaschenwein	['Flaschenwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein			Flaschenwein	kein_Trinken				kein_Trinken
