xml:id	Lemma	Wortart	Level	Definition	Konzept
ES04552	gesteh(n)		1.	gerinnen, von Milch, Gallerte, Blut, Fett usw. U	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ES04592	stäüben		6.	derb für trinken	Trinken
ES04677	stichlen		2.	säuerlich werden (vom Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES04918	stockig	Adj.	1.	geronnen von der Milch, vom Blut	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ES04986	Saüstall	m.	1.	Schweinestall	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES05370	Stöpferle	m.	1.	petschierter Flaschenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES05383	herum stupfen		1.	herumstossen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES05412	stierig	Adj.	5.	betrunken	Getränk
ES05588	Stotzen		1.	Strunk	Getränk
ES05601	Stütz(e)		2.	Küferkübel, zugleich Hohlmass für Wein, mit verschiedenem Rauminhalt, in der Regel 10 l, aber auch 12-15. Die Liter sind gekennzeichnet durch eingetriebene Nägel oder Pflöcke	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ES05786	Strumpf		1.	Strumpf	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ES05823	strupfen,		4.	vorsichtig ausmelken, wenn bald keine Milch mehr fliesst	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ET00024	Tee		1.	Teeblätter	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee
ET00025	Brusttee	m.	1.	Brusttee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee
ET00146	Dich		3.	Wasserwehr	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ET00164	Ducherle	n.	1.	Wasser- oder Rohrhuhn	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ET00171	düchlen		3.	scherzh. trinken	Trinken
ET00175	Äschtuech		1.	grosses, grobes Tuch, worauf beim Beuchen der Wäsche die Asche liegt. Über sie wird kochendes Wasser gegossen, so dass die entstehende Lauge durch das Tuch auf die Wäsche fliesst	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ET00198	Kästüechel	n.	1.	leinener Lappen, in welchen die Dickmilch geschüttet wird, wenn Käse gemacht werden soll	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ET00255	herum daudlen		2.	herumtaumeln	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ET00270	dudlen		3.	zechen, trinken	Trinken
ET00274	herum dudlen		1.	herumschlendern	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ET00278	umenander dudlen		1.	herumbummeln	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ET00307	Ostertaüf		1.	Ostertaufe, Wasser, das am Ostersamstag in der Kirche geweiht worden ist	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ET00311	taüfen		5.	mit Wasser versetzen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ET00532	dick I		5.	geronnen, von der Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ET00631	tollicht	Adj.	2.	eingenommen, vom Kopf, sei es infolge zu starken Genusses geistiger Getränke, sei es infolge dumpfer Luft	Getränk
ET00756	Dampf		1.	Dampf von Feuer oder Wasser. Rda	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ET00765	Tumpf		1.	Wehr im Wasser, Damm zum Stauen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ET00966	Tanzer	m.	2.	Schlüsselblume. Die Kinder ziehen den Stempel aus der Blüte und stellen ihn mit dem Fruchtknoten auf stilles Wasser: er tanzt alsdann	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ET00988	herum topen		3.	herumlungern	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ET01286	herum türmlen		2.	herumschwanken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ET01328	Krutdorsen		1.	Krautstrunk	Getränk
ET01550	Dutte I		2.	insbes. eine kleine, runde, aus Pappe bestehende, mit farbigem Papier verklebte Düte voll Zuckerwerk, Bonbonière	Getränk
ET01557	Düttle	n.	4.	Muttermilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ET01628	dätschlen		2.	aufs Wasser patschen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ET01713	Traberen		2.	Treberbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ET01807	trudlen,		4.	weinen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
ET01807	trudlen,		5.	trinken	Trinken
ET01870	Trog		II.	Truhe, länglich-viereckiger bemalter Kasten mit Deckel, zum Aufbewahren von Kleidern, Obst, Milch, Mehl, Getreide	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ET01926	Teüfelsdrëck	m.	2.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ET01976	trucken,		2.	von der Kuh gesagt, ohne Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ET01981	truckeht	Adj.	2.	ohne Milch, von der Kuh	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
ET02085	herum tramplen		1.	herumpoltern	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ET02152	Säütränke	f.	2.	schlechtes Getränk, z. B. schlechter Wein	Getränk
ET02153	tränken		1.	das Vieh tränken, scherzh. auch vom Menschen: zu trinken geben	Trinken
ET02177	herum trappen		1.	herumtrampeln	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
ET02221	tröpfelen		3.	von Wasser od. dgl. triefen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
ET02252	Druesen		2.	m. Branntwein aus Weinhefe gewonnen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EW00106	in weichen		1.	etwas in Wasser legen, um es aufweichen zu lassen; schmutzige Kleider, Wäsche werden eingeweicht, damit man sie besser waschen kann allg	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
EW00515	wellen I		1.	tr. wallen lassen, kochen, fast ausschliessl. von der Milch gebr	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
EW00723	gewinnen		2.	Wein abzapfen durch die kleine mit hölzernem Keil verschlossene Öffnung	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
EW00910	Wirbel I		2.	fortgehende kreisförmige Bewegung im Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
EW01009	Wermuet	m.	2.	Wermutbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EW01152	Wasser		1.	Wasser, Trinkwasser, Quellwasser, Regenwasser, Fluss, Teich, See, Meer. Von einem Arbeitsscheuen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
EW01154	Bappelwasser	n.	1.	geistige Getränke	Getränk
EW01154	Bappelwasser	n.	2.	Tee aus Blättern der Rosenpappel	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee
EW01158	Butzwasser	n.	1.	Putzwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
EW01182	Schüsselwasser	n.	1.	Spülwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
EW01182	Schüsselwasser	n.	2.	schlechter Kaffee; dünne, kraftlose Suppe	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
EW01189	Wichtwasser	n.	2.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EW01193	wässeren  II		1.	Wasser auf die Wiesen leiten, um den Graswuchs zu befördern	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
EW01193	wässeren  II		2.	in Wasser legen, um zu erweichen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
EW01296	Gewäsch	n.	1.	verächtl. oder scheltend für unordentliches Waschen oder Umherpatschen von Kindern im Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
