xml:id	Lemma	Wortart	Level	Definition	Konzept
CF00221	fengen	tr. v.	2.	geronnene Milch kochen, um Käse daraus zu machen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CF00426	ver-juppen		2.	sich vertun, von etwas zuviel essen od. trinken	Trinken
CF00471	ver-krasch	adj.		verweint	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CF00496	ver-lechen	intr. v.	2.	austrocknen, verschmachten vor Durst	Durst
CF00497	ver-leckeren	tr. v.		jemanden verwöhnen, wählerisch machen in Speise u. Trank	Getränk
CF00706	ver-suffen		1.	ertrinken	Trinken
CF00706	ver-suffen		2.	durch Trinken verprassen	Trinken
CF00845	fillen I			Wasser in das Schuhzeug bekommen, z. B. wenn man durch einen Sumpf od. durch flüssigen Kot geht	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CF00916	Vir-schotz	m.		der erste Branntwein, der beim Brennen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CF00954	Vitz	m.		Obstwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CF00970	Fläm	f.		Anflug über der Milch; feines Häutchen; Flaum vom Ei, von Speisen und Getränken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CF01021	Fleder-mus	f.	2.	Schmetterling	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CF01077	Flitter	m.		Schmetterling	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CF01121	voll	adj.	2.	betrunken	Getränk
CF01125	Vollchit	f.		Betrunkenheit	Getränk
CF01130	Föll-wein	m.		Füllwein, Wein zum Nach- und Auffüllen im Fasse	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CF01160	Vor-laf	m.		Vorlauf d. i. der erste Branntwein, der beim Brennen ausfließt. Er ist zu alkoholreich, um getrunken zu werden, u. dient zu Einreibungen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CF01272	frisch-melkich	adj.		frischmilchend (von der Kuh gesagt, die nach dem Kalben wieder zu Milch gekommen ist	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CF01369	Fusel	m.		geringer, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CG00052	Galm	m.		Durst, Qualm, Gestank	Durst
CG00244	Ge-drenks	n.	1.	Getränke	Getränk
CG00244	Ge-drenks	n.	2.	das Trinken	Trinken
CG00329	geien	intr. v.	2.	weinen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
